form	lemma	POS	morph
མཆོད་བརྗོད་	མཆོད་བརྗོད་	NOUN
དང་	དང་	NO_POS
རྩོམ་པ་	རྩོམ་པ་	VERB
དམ་བཅའ་བ་	དམ་བཅའ་བ་	NOUN
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
དང་	དང་	NO_POS
མགོན་པོ་	མགོན་པོ་	NOUN
འཇམ་པ་	འཇམ་པ་	VERB
འི་	གི་	PART
དབྱངས་	དབྱངས་	NOUN
ལ་	ལ་	PART
གུས་པ་	གུས་པ་	VERB
ས་	གིས་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	གོ་	PART
།།		PUNCT
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
སྐྱབས་གསུམ་	སྐྱབས་གསུམ་	OTHER
འདུས་པ་	འདུས་པ་	VERB
འི་	གི་	PART
སྐུ་	སྐུ་	NOUN
། །		PUNCT
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
དབང་ཕྱུག་	དབང་ཕྱུག་	NOUN
ཁམས་	ཁམས་	NOUN
གསུམ་	གསུམ་	NUM
འདྲེན་པ་	འདྲེན་པ་	VERB
འི་	གི་	PART
མཆོག་	མཆོག་	ADJ
།		PUNCT
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
འབྱོར་པ་	འབྱོར་པ་	NOUN
ས་	གིས་	PART
སྟོང་གསུམ་	སྟོང་གསུམ་	OTHER
དབུལ་བ་	དབུལ་བ་	VERB
སེལ་	སེལ་	VERB
། །		PUNCT
ཆོས་རྗེ་	ཆོས་རྗེ་	NOUN
བླ་མ་	བླ་མ་	NOUN
དུས་གསུམ་	དུས་གསུམ་	OTHER
མཁྱེན་	མཁྱེན་	VERB
ལ་	ལ་	PART
འདུད་	འདུད་	NO_POS
། །		PUNCT
བསྐལ་བཟང་	བསྐལ་བཟང་	NOUN
འདི་	འདི་	DET
ལ་	ལ་	PART
སྲིད་པ་	སྲིད་པ་	VERB
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
མགོན་	མགོན་	NOUN
། །		PUNCT
མཚན་	མཚན་	NOUN
བཟང་	བཟང་	VERB
དཔེ་བྱད་	དཔེ་བྱད་	NOUN
བརྒྱད་ཅུ་	བརྒྱད་ཅུ་	NO_POS
འི་	གི་	PART
གཟི་འོད་	གཟི་འོད་	OTHER
འབའ་	འབའ་	VERB
། །		PUNCT
རིགས་	རིགས་	NOUN
བཟང་	བཟང་	VERB
ཟས་གཙང་	ཟས་གཙང་	PROPN
སྲས་པོ་	སྲས་པོ་	NOUN
ལྷ་	ལྷ་	NOUN
འི་	གི་	PART
ལྷ་	ལྷ་	NOUN
། །		PUNCT
བློ་བཟང་	བློ་བཟང་	PROPN
ཀུན་མཁྱེན་	ཀུན་མཁྱེན་	OTHER
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
འི་	གི་	PART
ཞབས་	ཞབས་	NOUN
ལ་	ལ་	PART
འདུད་	འདུད་	NO_POS
།།		PUNCT
བྱམས་པ་	བྱམས་པ་	PROPN
འི་	གི་	PART
ཐུགས་	ཐུགས་	NOUN
ཀྱིས་	གིས་	PART
ལོག་པ་	ལོག་པ་	VERB
འི་	གི་	PART
ལྟ་བ་	ལྟ་བ་	VERB
འཇོམས་	འཇོམས་	NO_POS
། །		PUNCT
སྙན་	སྙན་	NOUN
དབྱངས་	དབྱངས་	NOUN
གསུང་	གསུང་	VERB
གི་	གི་	PART
འགྲོ་	འགྲོ་	VERB
ལ་	ལ་	PART
ཆོ་	ཆོ་	NOUN
ཆ་	ཆ་	NOUN
ར་	ལ་	PART
འབེབས་	འབེབས་	VERB
། །		PUNCT
སྨྲ་བ་	སྨྲ་བ་	VERB
འི་	གི་	PART
ཕྱོགས་	ཕྱོགས་	NOUN
ལ་	ལ་	PART
མི་	མི་	PART
འཇིགས་	འཇིགས་	VERB
སེང་གེ་	སེང་གེ་	NOUN
ཡི་	གི་	PART
། །		PUNCT
སྤོབས་པ་	སྤོབས་པ་	VERB
མཆོག་	མཆོག་	ADJ
སྩཽལ་		NON_WORD
རྒྱལ་སྲས་	རྒྱལ་སྲས་	NOUN
སྐུ་	སྐུ་	NOUN
ལ་	ལ་	PART
འདུད་	འདུད་	NO_POS
། །		PUNCT
བསྟན་པ་	བསྟན་པ་	VERB
ཡུན་རིང་	ཡུན་རིང་	NOUN
གནས་	གནས་	NOUN
ཕྱི་	ཕྱི་	OTHER
སྟོན་པ་	སྟོན་པ་	NOUN
ཡི་	གིས་	PART
། །		PUNCT
བསྟན་འཛིན་	བསྟན་འཛིན་	NOUN
སྐྱེས་བུ་	སྐྱེས་བུ་	NOUN
འི་	གི་	PART
མཐུན་	མཐུན་	VERB
རྐྱེན་	རྐྱེན་	NOUN
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
དང་	དང་	NO_POS
། །		PUNCT
བསྟན་	བསྟན་	VERB
ལ་	ལ་	PART
གནོད་	གནོད་	VERB
བྱེད་	བྱེད་	VERB
དགྲ་བགེགས་	དགྲ་བགེགས་	OTHER
ཚར་གཅོད་པ་	ཚར་གཅོད་པ་	NOUN
འི་	གི་	PART
། །		PUNCT
བསྟན་སྲུང་	བསྟན་སྲུང་	OTHER
ལྷ་ཆེན་	ལྷ་ཆེན་	NOUN
དཔལ་འབར་	དཔལ་འབར་	PROPN
རྒྱལ་	རྒྱལ་	VERB
གྱུར་ཅིག་	གྱུར་ཅིག་	NO_POS
།		PUNCT
དེ་ལྟ་	དེ་ལྟ་	NO_POS
མཆོད་པ་	མཆོད་པ་	VERB
ར་	ལ་	PART
བརྗོད་	བརྗོད་	VERB
ན་	ནས་	PART
།		PUNCT
དམ་པ་	དམ་པ་	VERB
རྣམས་	རྣམས་	DET
དགྱེས་པ་	དགྱེས་པ་	VERB
འི་	གི་	PART
འབེལ་གཏམ་	འབེལ་གཏམ་	NOUN
མཁའ་	མཁའ་	VERB
རྨོངས་	རྨོངས་	VERB
དབྱེ་བ་	དབྱེ་བ་	VERB
འི་	གི་	PART
གཞི་	གཞི་	NOUN
། །		PUNCT
རྒྱ་གར་	རྒྱ་གར་	PROPN
རྒྱ་ནག་	རྒྱ་ནག་	PROPN
གེ་སར་	གེ་སར་	PROPN
སྟག་གཟིག་	སྟག་གཟིག་	PROPN
དང་	དང་	NO_POS
། །		PUNCT
བལ་པོ་	བལ་པོ་	PROPN
ཧོར་	ཧོར་	PROPN
སོག་	སོག་	VERB
མི་	མི་	PART
ཉག་	ཉག་	NOUN
རྒྱལ་རབས་	རྒྱལ་རབས་	NOUN
དང་	དང་	NO_POS
།		PUNCT
ཁྱད་པར་	ཁྱད་པར་	NOUN
བོད་ཡུལ་	བོད་ཡུལ་	PROPN
གངས་ཅན་	གངས་ཅན་	ADJ
ཁྲོད་	ཁྲོད་	NOUN
འདི་རུ་	འདི་རུ་	NO_POS
།།		PUNCT
བསྟན་པ་	བསྟན་པ་	VERB
འི་	གི་	PART
