form	lemma	POS	morph
བཅོམ་ལྡན་འདས་	བཅོམ་ལྡན་འདས་	NOUN
ཀྱི་	གི་	PART
རྣམ་ཐར་	རྣམ་ཐར་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
འཕགས་པ་	འཕགས་པ་	VERB
འི་	གི་	PART
མཛད་པ་	མཛད་པ་	VERB
བཅུ་གཉིས་	བཅུ་གཉིས་	NO_POS
བསྟན་	བསྟན་	VERB
ཚུལ་	ཚུལ་	NOUN
།		PUNCT
དང་པོ་	དང་པོ་	ADJ
ར་	ལ་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
དོན་གྲུབ་	དོན་གྲུབ་	PROPN
མི་མཇེད་	མི་མཇེད་	PROPN
འཇིག་རྟེན་	འཇིག་རྟེན་	NOUN
གྱི་	གི་	PART
ཁམས་	ཁམས་	NOUN
འདི་	འདི་	DET
ར་	ལ་	PART
བྱོན་པ་	བྱོན་པ་	VERB
སྟེ་	སྟེ་	PART
།		PUNCT
ཉན་ཐོས་པ་	ཉན་ཐོས་པ་	NOUN
ན་རེ་	ན་རེ་	ADP
།		PUNCT
སྐྱེ་བ་	སྐྱེ་བ་	VERB
དཔག་	དཔག་	VERB
ཏུ་	ལ་	PART
མེད་པ་	མེད་པ་	VERB
འི་	གི་	PART
སྔོན་	སྔོན་	ADV
ན་	ནས་	PART
ཚོགས་	ཚོགས་	NOUN
གཉིས་	གཉིས་	NUM
བསགས་པ་	བསགས་པ་	VERB
འི་	གི་	PART
སྐྱེས་བུ་	སྐྱེས་བུ་	NOUN
རང་རྒྱུད་པ་	རང་རྒྱུད་པ་	NOUN
གཅིག་	གཅིག་	NUM
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
ཟས་གཙང་	ཟས་གཙང་	PROPN
གི་	གི་	PART
སྲ་	སྲ་	NOUN
སུ་	ལ་	PART
འཁྲུངས་པ་	འཁྲུངས་པ་	VERB
ཡིན་	ཡིན་	NO_POS
ཟེ་	ཟེ་	VERB
།		PUNCT
བྱང་སེམས་པ་	བྱང་སེམས་པ་	NOUN
རྣམས་	རྣམས་	DET
ནི་	ནི་	NO_POS
།		PUNCT
འདི་	འདི་	DET
སོ་སོ་	སོ་སོ་	PRON
སྐྱེ་བོ་	སྐྱེ་བོ་	NOUN
ཡང་	ཀྱང་	PART
མ་	མ་	PART
ཡིན་	ཡིན་	NO_POS
།		PUNCT
ཡང་དག་པ་	ཡང་དག་པ་	ADJ
ར་	ལ་	PART
རྫོགས་པ་	རྫོགས་པ་	VERB
འི་	གི་	PART
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
ཀྱང་	ཀྱང་	PART
མ་	མ་	PART
ཡིན་	ཡིན་	NO_POS
ཟེ་	ཟེ་	VERB
།		PUNCT
གསང་སྔགས་པ་	གསང་སྔགས་པ་	NOUN
རྣམས་	རྣམས་	DET
ནི་	ནི་	NO_POS
སྔོན་	སྔོན་	ADV
བསྐལ་བ་	བསྐལ་བ་	NOUN
མེ་ལོང་	མེ་ལོང་	NOUN
གི་	གི་	PART
འབྱུང་གནས་	འབྱུང་གནས་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
ལ་	ལ་	PART
།		PUNCT
ལམ་	གམ་	PART
ལྔ་	ལྔ་	NUM
།		PUNCT
ས་བཅུ་	ས་བཅུ་	NO_POS
བགྲོད་	བགྲོད་	VERB
ན་	ནས་	PART
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
ཚར་བ་	ཚར་བ་	VERB
དེ་	དེ་	DET
འི་	གི་	PART
སྤྲུལ་པ་	སྤྲུལ་པ་	VERB
ཡིན་	ཡིན་	NO_POS
ཟེ་	ཟེ་	VERB
།		PUNCT
གང་ལྟར་	གང་ལྟར་	NO_POS
ཡང་	ཀྱང་	PART
དང་པོ་	དང་པོ་	ADJ
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
མཆོག་	མཆོག་	ADJ
ཏུ་	ལ་	PART
ཐུགས་བསྐྱེད་	ཐུགས་བསྐྱེད་	OTHER
།		PUNCT
བསྐལ་བ་	བསྐལ་བ་	NOUN
གྲངས་མེད་	གྲངས་མེད་	NOUN
གསུམ་	གསུམ་	NUM
དུ་	ལ་	PART
ཚོགས་	ཚོགས་	NOUN
བསགས་	བསགས་	VERB
།		PUNCT
སྒྲིབ་པ་	སྒྲིབ་པ་	VERB
སྦྱངས་པ་	སྦྱངས་པ་	VERB
འི་	གི་	PART
མཐ་	མཐའ་	NOUN
ར་	ལ་	PART
མངོན་པ་	མངོན་པ་	OTHER
རྫོགས་པ་	རྫོགས་པ་	VERB
ར་	ལ་	PART
སངས་རྒྱས་པ་	སངས་རྒྱས་པ་	NOUN
ར་	ལ་	PART
ཐམས་ཅད་	ཐམས་ཅད་	DET
མཐུན་པ་	མཐུན་པ་	VERB
ས་	གིས་	PART
།		PUNCT
དེ་ཡང་	དེ་ཡང་	ADV
ཐུགས་བསྐྱེད་	ཐུགས་བསྐྱེད་	OTHER
ལུགས་	ལུགས་	NOUN
མདོ་སྡེ་	མདོ་སྡེ་	NOUN
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
པད་དཀར་	པད་དཀར་	OTHER
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
འདི་	འདི་	DET
དང་པོ་	དང་པོ་	ADJ
བྲམ་ཟེ་	བྲམ་ཟེ་	NOUN
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
འི་	གི་	PART
རྡུལ་	རྡུལ་	NOUN
དུ་	ལ་	PART
གྱུར་	གྱུར་	VERB
ཚེ་	ཚེ་	NOUN
