form	lemma	POS	morph
དབུ་	དབུ་	NOUN
གཙང་	གཙང་	PROPN
ཁྲི་སྐོར་	ཁྲི་སྐོར་	NO_POS
གྱི་	གི་	PART
དུད་གྲངས་	དུད་གྲངས་	NO_POS
དང་	དང་	NO_POS
།		PUNCT
འཇའ་མོ་	འཇའ་མོ་	NO_POS
འཛིན་	འཛིན་	VERB
ལུགས་	ལུགས་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
། །		PUNCT
ཧོར་	ཧོར་	PROPN
སེ་	སེ་	NO_POS
ཆེན་	ཆེན་	NO_POS
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
འི་	གི་	PART
ལུང་	ལུང་	NOUN
གིས་	གིས་	PART
།		PUNCT
མི་ཆེན་	མི་ཆེན་	NOUN
ད་	ད་	ADV
ས་	གིས་	PART
མན་	མན་	OTHER
ལ་	ལ་	PART
བཀའ་	བཀའ་	NOUN
བསྩལ་པ་	བསྩལ་པ་	NO_POS
།		PUNCT
ད་	ད་	ADV
ས་	གིས་	PART
མན་	མན་	OTHER
ཁྱོད་	ཁྱོད་	PRON
ཉོན་	ཉོན་	VERB
གཅིག་	གཅིག་	NUM
བོད་	བོད་	PROPN
འདི་	འདི་	DET
མི་	མི་	PART
ཐུ་མོ་	ཐུ་མོ་	NO_POS
རང་	རང་	PRON
ཡིན་པ་	ཡིན་པ་	AUX
ར་	ལ་	PART
།		PUNCT
སྔོན་	སྔོན་	ADV
བོད་	བོད་	PROPN
ཀྱི་	གི་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
ཡོད་པ་	ཡོད་པ་	VERB
འི་	གི་	PART
དུས་	དུས་	NOUN
།		PUNCT
ཐང་	ཐང་	NOUN
ཐ་	ཐ་	NOUN
འི་	གི་	PART
ཛུང་		NON_WORD
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
འི་	གི་	PART
རིང་	རིང་	NOUN
ལ་	ལ་	PART
།		PUNCT
རི་བོ་	རི་བོ་	NOUN
རྩེ་	རྩེ་	NOUN
ལྔ་	ལྔ་	NUM
འི་	གི་	PART
བ་	བ་	NOUN
བོད་	བོད་	PROPN
དམག་	དམག་	NOUN
མང་པོ་	མང་པོ་	ADJ
ཡོང་	ཡོང་	NO_POS
།		PUNCT
ཧུ་	ཧུ་	NO_POS
ཐིང་	ཐིང་	VERB
ཧུས་		NON_WORD
ས་	ས་	ADP
ར་	ལ་	PART
བཀའ་མ་	བཀའ་མ་	NOUN
ལོག་	ལོག་	VERB
ཟེར་བ་	ཟེར་བ་	VERB
འི་	གི་	PART
མཚན་	མཚན་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
སྡོད་པ་	སྡོད་པ་	VERB
བྱ་	བྱ་	VERB
འདུག་	འདུག་	VERB
ད་ལྟ་	ད་ལྟ་	OTHER
བོད་	བོད་	PROPN
ལ་	ལ་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
མེད་	མེད་	VERB
།		PUNCT
ཇིང་		NON_WORD
གིར་		NON_WORD
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
འི་	གི་	PART
སྐུ་བསོད་	སྐུ་བསོད་	NOUN
ལ་	ལ་	PART
། །		PUNCT
རྒྱལ་ཁམས་	རྒྱལ་ཁམས་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
དབང་	དབང་	NOUN
དུ་	ལ་	PART
བསྡུ་	བསྡུ་	VERB
། །		PUNCT
ས་སྐྱ་	ས་སྐྱ་	PROPN
བླ་མ་	བླ་མ་	NOUN
འང་	ཀྱང་	PART
རང་	རང་	PRON
རེ་	རེ་	DET
འི་	གི་	PART
བླ་མཆོད་	བླ་མཆོད་	NOUN
དུ་	ལ་	PART
ཁུགས་པ་	ཁུགས་པ་	VERB
འདི་	འདི་	DET
ཡིན་	ཡིན་	NO_POS
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
འཕགས་པ་	འཕགས་པ་	VERB
ཁུ་དབོན་	ཁུ་དབོན་	PROPN
འདི་པ་	འདི་པ་	PRON
།		PUNCT
ཡུལ་	ཡུལ་	NOUN
གཞན་	གཞན་	DET
གྱི་	གི་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
ཡིན་	ཡིན་	NO_POS
ན་	ལ་	PART
